tract_a	tract_b	adjacency
53027001600	53027001600	1
53027000700	53027001600	1
53027000900	53027001600	1
53027001500	53027001600	1
53027000200	53027001600	1
53027001600	53027990000	1
53027001600	53049950300	1
53027001600	53049950200	1
53027000300	53027000300	1
53027000300	53027000400	1
53027000300	53027001500	1
53027000300	53027001300	1
53027000300	53027001400	1
53027000200	53027000300	1
53027000300	53027000800	1
53027000300	53027001000	1
53027000300	53027001100	1
53027000300	53027940000	1
53027000300	53031950702	1
53027000700	53027000700	1
53027000700	53027000900	1
53027000600	53027000700	1
53027000400	53027000700	1
53027000500	53027000700	1
53027000700	53027000800	1
53027000700	53067012720	1
53027000700	53049950300	1
53027000700	53049950200	1
53027000700	53067011810	1
53027000700	53067012730	1
53027000700	53041970100	1
53027000900	53027000900	1
53027000900	53027001500	1
53027000900	53027001300	1
53027000800	53027000900	1
53027000900	53027001000	1
53027000900	53027001200	1
53027000600	53027000600	1
53027000500	53027000600	1
53027000600	53045961300	1
53027000600	53067011900	1
53027000600	53067011810	1
53027000400	53027000400	1
53027000400	53027000500	1
53027000400	53027000800	1
53027000400	53045960200	1
53027000400	53045960100	1
53027000400	53031950702	1
53027001500	53027001500	1
53027001300	53027001500	1
53027001400	53027001500	1
53027000200	53027001500	1
53027001300	53027001300	1
53027001300	53027001400	1
53027001100	53027001300	1
53027001200	53027001300	1
53027001400	53027001400	1
53027000500	53027000500	1
53027000500	53045961300	1
53027000500	53045960200	1
53027000200	53027000200	1
53027000200	53027990000	1
53027000200	53027940000	1
53027000800	53027000800	1
53027000800	53027001000	1
53063002500	53063002500	1
53063001400	53063002500	1
53063001500	53063002500	1
53063002500	53063014500	1
53057951800	53057951800	1
53057951600	53057951800	1
53057951800	53057951900	1
53057950800	53057951800	1
53057951800	53057952200	1
53057951700	53057951800	1
53057951800	53057952302	1
53057951600	53057951600	1
53057951400	53057951600	1
53057951300	53057951600	1
53057950900	53057951600	1
53057950800	53057951600	1
53057951600	53057951700	1
53057951500	53057951600	1
53057951600	53057952302	1
53057952500	53057952500	1
53057952200	53057952500	1
53057952500	53057952600	1
53057952302	53057952500	1
53057952401	53057952500	1
53057951400	53057951400	1
53057951300	53057951400	1
53057950900	53057951400	1
53057951400	53057951500	1
53057951300	53057951300	1
53057950900	53057951300	1
53057951200	53057951300	1
53057951000	53057951300	1
53057951300	53057952302	1
53057950900	53057950900	1
53057950800	53057950900	1
53057950900	53057951000	1
53057950900	53057951500	1
53057950900	53073000806	1
53057951900	53057951900	1
53057950800	53057951900	1
53057951900	53057952200	1
53057951900	53057952600	1
53057951900	53057952100	1
53057951900	53057990100	1
53057940800	53057951900	1
53057950800	53057950800	1
53057950800	53057990100	1
53057950800	53073000806	1
53057950800	53073001202	1
53057951200	53057951200	1
53057951100	53057951200	1
53057951200	53057952700	1
53057951200	53061053506	1
53057951000	53057951200	1
53057951200	53061053400	1
53057951200	53061053700	1
53057951200	53057952402	1
53057951200	53057952302	1
53057951100	53057951100	1
53057951000	53057951100	1
53057951100	53061053700	1
53047970900	53057951100	1
53007960100	53057951100	1
53057952200	53057952200	1
53057951700	53057952200	1
53057952200	53057952600	1
53057952200	53057952302	1
53057952200	53057952301	1
53057952700	53057952700	1
53057952600	53057952700	1
53057952100	53057952700	1
53057952700	53061053301	1
53057952700	53061053400	1
53057952700	53057990100	1
53057952402	53057952700	1
53057952700	53061053302	1
53019940000	53019940000	1
53019940000	53019970200	1
53019940000	53019970100	1
53019940000	53043960200	1
53019940000	53043960300	1
53019940000	53047940100	1
53019940000	53065950900	1
53019940000	53065950100	1
53019940000	53065941000	1
53019970200	53019970200	1
53019970100	53019970200	1
53019970200	53047940100	1
53019970200	53047970300	1
53019970100	53019970100	1
53019970100	53065950100	1
53019970100	53047970300	1
53067011621	53067011621	1
53067011621	53067011623	1
53067011621	53067011622	1
53067011300	53067011621	1
53067011420	53067011621	1
53067011623	53067011623	1
53067011623	53067012610	1
53067011622	53067011623	1
53067011623	53067011720	1
53067011623	53067012420	1
53067011623	53067011624	1
53067010510	53067010510	1
53067010510	53067010910	1
53067010510	53067011100	1
53067010510	53067011000	1
53067010510	53067010600	1
53067010510	53067012000	1
53067010510	53067010520	1
53027001000	53027001000	1
53027001000	53027001100	1
53027001000	53027001200	1
53027001100	53027001100	1
53027001100	53027001200	1
53031950202	53031950202	1
53031950202	53031950500	1
53031950202	53031950300	1
53031950202	53035990100	1
53009002300	53031950202	1
53031950202	53031950702	1
53031950500	53031950500	1
53031950500	53031950601	1
53031950300	53031950500	1
53031950500	53031950602	1
53031950400	53031950500	1
53009990100	53031950500	1
53029992201	53031950500	1
53031950500	53055990100	1
53009002300	53031950500	1
53031950601	53031950601	1
53031950601	53031950602	1
53031950400	53031950601	1
53029992201	53031950601	1
53031950300	53031950300	1
53031950300	53031950400	1
53031950300	53035990100	1
53029992201	53031950300	1
53031950602	53031950602	1
53029992201	53031950602	1
53031950400	53031950400	1
53029992201	53031950400	1
53027001200	53027001200	1
53061051914	53061051914	1
53061051300	53061051914	1
53033021600	53061051914	1
53061051914	53061051917	1
53033021500	53061051914	1
53061051913	53061051914	1
53069950100	53069950100	1
53015002001	53069950100	1
53015001900	53069950100	1
53049950400	53069950100	1
53041971500	53069950100	1
53053073126	53053073126	1
53053073121	53053073126	1
53053073123	53053073126	1
53053073113	53053073126	1
53053073125	53053073126	1
53053073122	53053073126	1
53071920500	53071920500	1
53071920500	53071920600	1
53071920200	53071920500	1
53071920400	53071920500	1
53071920500	53071920802	1
53071920000	53071920000	1
53071920000	53071920100	1
53005011501	53071920000	1
53005011600	53071920000	1
53013960200	53071920000	1
53021020100	53071920000	1
53071920600	53071920600	1
53071920600	53071920900	1
53071920200	53071920600	1
53071920300	53071920600	1
53071920600	53071920702	1
53071920600	53071920701	1
53071920600	53071920802	1
53071920900	53071920900	1
53071920200	53071920900	1
53071920300	53071920900	1
53071920702	53071920900	1
53071920100	53071920900	1
53071920200	53071920200	1
53071920200	53071920300	1
53071920100	53071920200	1
53071920200	53071920400	1
53071920300	53071920300	1
53071920702	53071920702	1
53071920701	53071920702	1
